game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Future Trunks,sprite_future_trunks,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/14503/,,Chaos Flame; Chaos Flame; SpYn,"A long, long time ago",PNG (image/png),48.60 KB (2304x192),sprite_future_trunks.png,2026-07-18T06:09:43.679784+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Future Trunks (Battle Suit),sprite_future_trunks_battle_suit,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/544591/,SpYn_,,"April 15, 2026",PNG (image/png),46.17 KB (2048x192),sprite_future_trunks_battle_suit.png,2026-07-18T06:09:49.585634+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Future Trunks (Battle Suit) (Super Saiyan),sprite_future_trunks_battle_suit_super_saiyan,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/544592/,SpYn_,,"April 15, 2026",PNG (image/png),45.34 KB (1856x192),sprite_future_trunks_battle_suit_super_saiyan.png,2026-07-18T06:09:54.084869+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Future Trunks (Super Saiyan),sprite_future_trunks_super_saiyan,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/544589/,SpYn_,,"April 15, 2026",PNG (image/png),41.61 KB (1856x192),sprite_future_trunks_super_saiyan.png,2026-07-18T06:09:58.246736+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Future Trunks (Teen),sprite_future_trunks_teen,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/14504/,Mister Man,SpYn,"A long, long time ago",PNG (image/png),29.48 KB (1184x192),sprite_future_trunks_teen.png,2026-07-18T06:10:03.743751+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Gohan (Battle Suit),sprite_gohan_battle_suit,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/544596/,SpYn_,,"April 15, 2026",PNG (image/png),40.66 KB (2016x192),sprite_gohan_battle_suit.png,2026-07-18T06:10:08.160549+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Gohan (Battle Suit) (Super Saiyan 2),sprite_gohan_battle_suit_super_saiyan_2,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/544598/,SpYn_,,"April 15, 2026",PNG (image/png),37.94 KB (1472x192),sprite_gohan_battle_suit_super_saiyan_2.png,2026-07-18T06:10:15.565951+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Gohan (Battle Suit) (Super Saiyan),sprite_gohan_battle_suit_super_saiyan,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/544597/,SpYn_,,"April 15, 2026",PNG (image/png),42.56 KB (1920x192),sprite_gohan_battle_suit_super_saiyan.png,2026-07-18T06:10:20.522038+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Gohan (Casual),sprite_gohan_casual,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/75738/,Mister Man,SpYn,"January 18, 2016",PNG (image/png),29.47 KB (1472x192),sprite_gohan_casual.png,2026-07-18T06:10:25.557929+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Gohan (Demon Clothes),sprite_gohan_demon_clothes,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/544595/,SpYn_,,"April 15, 2026",PNG (image/png),37.97 KB (1760x192),sprite_gohan_demon_clothes.png,2026-07-18T06:10:32.948595+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Playable Characters,Gohan (Namek Armor),sprite_gohan_namek_armor,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/544594/,SpYn_,,"April 15, 2026",PNG (image/png),32.64 KB (1600x192),sprite_gohan_namek_armor.png,2026-07-18T06:10:37.197932+00:00
