game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Alligator,sprite_alligator,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/224136/,TheRedHeadHenry,,"May 10, 2024",PNG (image/png),8.45 KB (448x192),sprite_alligator.png,2026-07-22T05:18:04.147998+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Android 16,sprite_android_16,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/110142/,darkbolt99,SpYn,"October 22, 2018",PNG (image/png),13.78 KB (672x192),sprite_android_16.png,2026-07-22T05:18:07.792381+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Android 17,sprite_android_17,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/36942/,,Lloyd_Irwing_1; SpYn,"A long, long time ago",PNG (image/png),26.38 KB (1280x192),sprite_android_17.png,2026-07-22T05:18:11.420337+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Android 18,sprite_android_18,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/110110/,darkbolt99,SpYn,"October 20, 2018",PNG (image/png),27.40 KB (1056x192),sprite_android_18.png,2026-07-22T05:18:18.022727+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Android 19,sprite_android_19,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/36989/,,Lloyd_Irwing_1; SpYn,"A long, long time ago",PNG (image/png),19.83 KB (928x192),sprite_android_19.png,2026-07-22T05:18:21.992302+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Android 20 / Dr. Gero,sprite_android_20_dr_gero,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/37190/,,Lloyd_Irving_1; SpYn,"A long, long time ago",PNG (image/png),43.15 KB (1280x352),sprite_android_20_dr_gero.png,2026-07-22T05:18:25.640561+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Cell (Imperfect),sprite_cell_imperfect,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/79012/,zuko_25,SpYn,"May 16, 2016",PNG (image/png),82.12 KB (2560x384),sprite_cell_imperfect.png,2026-07-22T05:18:29.298349+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Cell (Perfect),sprite_cell_perfect,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/79014/,zuko_25,SpYn,"May 16, 2016",PNG (image/png),69.03 KB (2304x384),sprite_cell_perfect.png,2026-07-22T05:18:32.892156+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Cell (Semi-Perfect),sprite_cell_semi_perfect,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/79013/,zuko_25,SpYn,"May 16, 2016",PNG (image/png),87.11 KB (2944x384),sprite_cell_semi_perfect.png,2026-07-22T05:18:36.484207+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Cell Jr,sprite_cell_jr,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/224075/,SpYn_,SpYn,"May 8, 2024",PNG (image/png),6.51 KB (320x192),sprite_cell_jr.png,2026-07-22T05:18:40.105085+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Cooler,sprite_cooler,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/110159/,darkbolt99,SpYn,"October 23, 2018",PNG (image/png),54.32 KB (1856x384),sprite_cooler.png,2026-07-22T05:18:43.736798+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Destroyer,sprite_destroyer,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/543772/,SpYn_,SpYn,"April 13, 2026",PNG (image/png),135.58 KB (1152x1024),sprite_destroyer.png,2026-07-22T05:18:47.423017+00:00
Dragon Ball Z: The Legacy of Goku II,Game Boy Advance,Enemies & Bosses,Eggbot,sprite_eggbot,https://www.spriters-resource.com/game_boy_advance/dbzlog2/asset/243252/,SpYn_,SpYn,"November 16, 2024",PNG (image/png),52.99 KB (576x672),sprite_eggbot.png,2026-07-22T05:18:51.208174+00:00
