game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,1st Floor of Guild & Outside,sprite_1st_floor_of_guild_outside,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5962/,redblueyellow,,"A long, long time ago",PNG (image/png),96.76 KB (781x354),sprite_1st_floor_of_guild_outside.png,2026-07-23T00:45:34.418347+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,2nd Floor of Guild,sprite_2nd_floor_of_guild,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5963/,redblueyellow,,"A long, long time ago",PNG (image/png),69.87 KB (582x409),sprite_2nd_floor_of_guild.png,2026-07-23T00:45:38.118920+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,3rd Floor of Guild,sprite_3rd_floor_of_guild,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5964/,redblueyellow,,"A long, long time ago",PNG (image/png),318.47 KB (1090x948),sprite_3rd_floor_of_guild.png,2026-07-23T00:45:41.818356+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Base Camp,sprite_base_camp,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5973/,redblueyellow,,"A long, long time ago",PNG (image/png),242.51 KB (584x717),sprite_base_camp.png,2026-07-23T00:45:45.550459+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Beach & Path to Beach,sprite_beach_path_to_beach,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/14797/,redblueyellow,,"A long, long time ago",PNG (image/png),283.79 KB (1650x990),sprite_beach_path_to_beach.png,2026-07-23T00:45:52.234106+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,The Crossroads,sprite_the_crossroads,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5972/,redblueyellow,,"A long, long time ago",PNG (image/png),171.16 KB (744x460),sprite_the_crossroads.png,2026-07-23T00:45:55.888895+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Crystal Cave Puzzle,sprite_crystal_cave_puzzle,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/14988/,redblueyellow,,"A long, long time ago",PNG (image/png),248.25 KB (901x496),sprite_crystal_cave_puzzle.png,2026-07-23T00:45:59.713216+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Dusk Forest Entrance,sprite_dusk_forest_entrance,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5976/,redblueyellow,,"A long, long time ago",PNG (image/png),117.66 KB (609x551),sprite_dusk_forest_entrance.png,2026-07-23T00:46:03.483198+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Jail (Outside),sprite_jail_outside,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/74506/,Hino,Ecasol,"December 16, 2015",PNG (image/png),43.61 KB (456x551),sprite_jail_outside.png,2026-07-23T00:46:07.308851+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Jail Cell,sprite_jail_cell,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5977/,redblueyellow,,"A long, long time ago",PNG (image/png),43.19 KB (607x349),sprite_jail_cell.png,2026-07-23T00:46:11.026324+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Marowak's Dojo,sprite_marowak_s_dojo,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5966/,redblueyellow,,"A long, long time ago",PNG (image/png),135.99 KB (1065x554),sprite_marowak_s_dojo.png,2026-07-23T00:46:14.761480+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Sharpedo Bluff,sprite_sharpedo_bluff,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5970/,redblueyellow,,"A long, long time ago",PNG (image/png),213.78 KB (1801x978),sprite_sharpedo_bluff.png,2026-07-23T00:46:21.453576+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Temporal Tower Summit,sprite_temporal_tower_summit,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/114536/,Sparku_,SparkuG23,"February 26, 2019",PNG (image/png),651.05 KB (1600x1800),sprite_temporal_tower_summit.png,2026-07-23T00:46:25.154611+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Treasure Town,sprite_treasure_town,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5979/,redblueyellow,,"A long, long time ago",PNG (image/png),259.13 KB (1157x985),sprite_treasure_town.png,2026-07-23T00:46:28.840614+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Backgrounds,Treasure Town,sprite_treasure_town_81003,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/81003/,Heartlessdragoon,,"July 29, 2016",PNG (image/png),400.26 KB (936x1280),sprite_treasure_town_81003.png,2026-07-23T00:46:32.614011+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Amp Plains,sprite_amp_plains,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85781/,SilverDeoxys563,,"December 16, 2016",PNG (image/png),50.61 KB (963x770),sprite_amp_plains.png,2026-07-23T00:46:36.310783+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Apple Woods,sprite_apple_woods,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/84820/,SilverDeoxys563,,"November 8, 2016",PNG (image/png),116.98 KB (963x770),sprite_apple_woods.png,2026-07-23T00:46:42.987705+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Beach Cave,sprite_beach_cave,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/84831/,SilverDeoxys563,,"November 8, 2016",PNG (image/png),120.03 KB (1038x770),sprite_beach_cave.png,2026-07-23T00:46:46.702829+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Bottomless Sea,sprite_bottomless_sea,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85536/,SilverDeoxys563,,"December 7, 2016",PNG (image/png),126.66 KB (1038x770),sprite_bottomless_sea.png,2026-07-23T00:46:50.321604+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Brine Cave,sprite_brine_cave,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85956/,SilverDeoxys563,,"December 21, 2016",PNG (image/png),105.77 KB (963x770),sprite_brine_cave.png,2026-07-23T00:46:54.910241+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Chasm Cave B01F - B04F,sprite_chasm_cave_b01f_b04f,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/84816/,SilverDeoxys563,,"November 8, 2016",PNG (image/png),33.25 KB (541x770),sprite_chasm_cave_b01f_b04f.png,2026-07-23T00:46:59.913201+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Chasm Cave B05F - B08F,sprite_chasm_cave_b05f_b08f,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/84815/,SilverDeoxys563,,"November 8, 2016",PNG (image/png),42.19 KB (541x770),sprite_chasm_cave_b05f_b08f.png,2026-07-23T00:47:03.723834+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Concealed Ruins,sprite_concealed_ruins,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85985/,SilverDeoxys563,,"December 23, 2016",PNG (image/png),121.24 KB (963x770),sprite_concealed_ruins.png,2026-07-23T00:47:10.324074+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Craggy Coast,sprite_craggy_coast,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85412/,SilverDeoxys563,,"December 2, 2016",PNG (image/png),114.09 KB (963x770),sprite_craggy_coast.png,2026-07-23T00:47:13.955648+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Crystal Cave B01F - B05F,sprite_crystal_cave_b01f_b05f,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85897/,SilverDeoxys563,,"December 20, 2016",PNG (image/png),95.12 KB (888x770),sprite_crystal_cave_b01f_b05f.png,2026-07-23T00:47:17.576136+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Crystal Cave B06F - B11F,sprite_crystal_cave_b06f_b11f,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85914/,SilverDeoxys563,,"December 21, 2016",PNG (image/png),95.45 KB (888x770),sprite_crystal_cave_b06f_b11f.png,2026-07-23T00:47:21.162324+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Crystal Crossing,sprite_crystal_crossing,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85915/,SilverDeoxys563,,"December 21, 2016",PNG (image/png),94.44 KB (888x770),sprite_crystal_crossing.png,2026-07-23T00:47:24.800934+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Dark Crater,sprite_dark_crater,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/86117/,SilverDeoxys563,,"December 25, 2016",PNG (image/png),135.64 KB (1038x820),sprite_dark_crater.png,2026-07-23T00:47:28.483452+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Dark Hill 01F - 06F,sprite_dark_hill_01f_06f,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/84799/,SilverDeoxys563,,"November 8, 2016",PNG (image/png),90.08 KB (691x770),sprite_dark_hill_01f_06f.png,2026-07-23T00:47:32.116044+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Dark Hill 07F - 15F,sprite_dark_hill_07f_15f,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/84798/,SilverDeoxys563,,"November 8, 2016",PNG (image/png),88.60 KB (691x770),sprite_dark_hill_07f_15f.png,2026-07-23T00:47:35.767941+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Deep Dark Crater,sprite_deep_dark_crater,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/86118/,SilverDeoxys563,,"December 25, 2016",PNG (image/png),142.25 KB (1113x820),sprite_deep_dark_crater.png,2026-07-23T00:47:42.424917+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Deep Dusk Forest 01F - 06F,sprite_deep_dusk_forest_01f_06f,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85129/,SilverDeoxys563,,"November 20, 2016",PNG (image/png),112.47 KB (888x770),sprite_deep_dusk_forest_01f_06f.png,2026-07-23T00:47:46.020212+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Deep Dusk Forest 07F - 12F,sprite_deep_dusk_forest_07f_12f,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/85132/,SilverDeoxys563,,"November 20, 2016",PNG (image/png),114.10 KB (888x770),sprite_deep_dusk_forest_07f_12f.png,2026-07-23T00:47:49.739751+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Deep Sealed Ruin,sprite_deep_sealed_ruin,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/84970/,SilverDeoxys563,,"November 15, 2016",PNG (image/png),81.15 KB (691x770),sprite_deep_sealed_ruin.png,2026-07-23T00:47:53.334962+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Dungeons,Drenched Bluff,sprite_drenched_bluff,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/84890/,SilverDeoxys563,,"November 12, 2016",PNG (image/png),111.67 KB (963x770),sprite_drenched_bluff.png,2026-07-23T00:47:57.131740+00:00
