game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),"Abra, Kadabra & Alakazam",sprite_abra_kadabra_alakazam,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/26222/,redblueyellow,,"A long, long time ago",PNG (image/png),47.11 KB (412x702),sprite_abra_kadabra_alakazam.png,2026-07-23T00:22:27.141002+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),Aerodactyl,sprite_aerodactyl,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/15915/,redblueyellow,,"A long, long time ago",PNG (image/png),20.62 KB (406x271),sprite_aerodactyl.png,2026-07-23T00:22:30.960219+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),Articuno,sprite_articuno,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/26223/,redblueyellow,,"A long, long time ago",PNG (image/png),28.77 KB (542x346),sprite_articuno.png,2026-07-23T00:22:34.545268+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),"Bellsprout, Weepinbell & Victreebel",sprite_bellsprout_weepinbell_victreebel,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/26224/,redblueyellow,,"A long, long time ago",PNG (image/png),52.95 KB (447x683),sprite_bellsprout_weepinbell_victreebel.png,2026-07-23T00:22:38.134827+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),"Bulbasaur, Ivysaur & Venusaur",sprite_bulbasaur_ivysaur_venusaur,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/26225/,mufasakong,,"A long, long time ago",PNG (image/png),140.10 KB (730x1210),sprite_bulbasaur_ivysaur_venusaur.png,2026-07-23T00:22:41.776359+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),"Caterpie, Metapod & Butterfree",sprite_caterpie_metapod_butterfree,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/26226/,redblueyellow,,"A long, long time ago",PNG (image/png),42.39 KB (432x647),sprite_caterpie_metapod_butterfree.png,2026-07-23T00:22:45.337430+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),"Charmander, Charmeleon & Charizard",sprite_charmander_charmeleon_charizard,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/26228/,redblueyellow,,"A long, long time ago",PNG (image/png),59.21 KB (482x681),sprite_charmander_charmeleon_charizard.png,2026-07-23T00:22:48.910346+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),"Cleffa, Clefairy & Clefable",sprite_cleffa_clefairy_clefable,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/14804/,redblueyellow,,"A long, long time ago",PNG (image/png),54.73 KB (333x800),sprite_cleffa_clefairy_clefable.png,2026-07-23T00:22:52.524319+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),Cubone & Marowak,sprite_cubone_marowak,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/22834/,redblueyellow,,"A long, long time ago",PNG (image/png),43.06 KB (419x530),sprite_cubone_marowak.png,2026-07-23T00:22:56.104674+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),Diglett & Dugrio,sprite_diglett_dugrio,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/26229/,redblueyellow,,"A long, long time ago",PNG (image/png),39.45 KB (554x469),sprite_diglett_dugrio.png,2026-07-23T00:22:59.777998+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),Ditto,sprite_ditto,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/15901/,redblueyellow,,"A long, long time ago",PNG (image/png),11.93 KB (311x282),sprite_ditto.png,2026-07-23T00:23:03.465037+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),Doduo & Dodrio,sprite_doduo_dodrio,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/26231/,redblueyellow,,"A long, long time ago",PNG (image/png),68.18 KB (522x901),sprite_doduo_dodrio.png,2026-07-23T00:23:07.287649+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),"Dratini, Dragonair & Dragonite",sprite_dratini_dragonair_dragonite,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/22835/,redblueyellow,,"A long, long time ago",PNG (image/png),56.18 KB (498x772),sprite_dratini_dragonair_dragonite.png,2026-07-23T00:23:10.904012+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),Drowzee & Hypno,sprite_drowzee_hypno,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/26232/,redblueyellow,RRen,"A long, long time ago",PNG (image/png),40.75 KB (378x490),sprite_drowzee_hypno.png,2026-07-23T00:23:14.478480+00:00
Pokémon Mystery Dungeon: Explorers of Time / Darkness,Ds Dsi,Pokémon (1st Generation),"Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon & Glaceon",sprite_eevee_vaporeon_jolteon_flareon_espeon_umbreon_leafeon_glaceon,https://www.spriters-resource.com/ds_dsi/pokemonmysterydungeonexplorersoftimedarkness/asset/5736/,redblueyellow,,"A long, long time ago",PNG (image/png),208.23 KB (1757x672),sprite_eevee_vaporeon_jolteon_flareon_espeon_umbreon_leafeon_glaceon.png,2026-07-23T00:23:18.041865+00:00
