game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Pokémon HeartGold / SoulSilver,Ds Dsi,Playable Characters,Ethan,sprite_ethan,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/26778/,Dazz,,"A long, long time ago",PNG (image/png),33.68 KB (411x474),sprite_ethan.png,2026-07-18T09:01:13.286116+00:00
Pokémon HeartGold / SoulSilver,Ds Dsi,Playable Characters,Lyra,sprite_lyra,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/26777/,Dazz,,"A long, long time ago",PNG (image/png),34.21 KB (475x491),sprite_lyra.png,2026-07-18T09:01:18.517414+00:00
Pokémon HeartGold / SoulSilver,Ds Dsi,Overworld,"Arceus (Overworld, Normal)",sprite_arceus_overworld_normal,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/26954/,Dragoon,,"A long, long time ago",PNG (image/png),84.28 KB (766x839),sprite_arceus_overworld_normal.png,2026-07-18T09:01:22.635550+00:00
Pokémon HeartGold / SoulSilver,Ds Dsi,Overworld,"Arceus (Overworld, Shiny)",sprite_arceus_overworld_shiny,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/67543/,Zany,,"June 30, 2015",PNG (image/png),76.97 KB (766x774),sprite_arceus_overworld_shiny.png,2026-07-18T09:01:26.999112+00:00
Pokémon HeartGold / SoulSilver,Ds Dsi,Overworld,"Pokémon (1st Generation, Overworld)",sprite_pok_mon_1st_generation_overworld,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/26794/,Dragoon,,"A long, long time ago",PNG (image/png),361.73 KB (970x1417),sprite_pok_mon_1st_generation_overworld.png,2026-07-18T09:01:34.083042+00:00
Pokémon HeartGold / SoulSilver,Ds Dsi,Overworld,"Pokémon (2nd Generation, Overworld)",sprite_pok_mon_2nd_generation_overworld,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/26795/,Dragoon,,"A long, long time ago",PNG (image/png),283.25 KB (712x1811),sprite_pok_mon_2nd_generation_overworld.png,2026-07-18T09:01:38.218060+00:00
Pokémon HeartGold / SoulSilver,Ds Dsi,Overworld,"Pokémon (3rd Generation, Overworld)",sprite_pok_mon_3rd_generation_overworld,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/26828/,redblueyellow,,"A long, long time ago",PNG (image/png),342.61 KB (844x1459),sprite_pok_mon_3rd_generation_overworld.png,2026-07-18T09:01:42.283606+00:00
Pokémon HeartGold / SoulSilver,Ds Dsi,Overworld,"Pokémon (4th Generation, Overworld)",sprite_pok_mon_4th_generation_overworld,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/26953/,Dragoon,,"A long, long time ago",PNG (image/png),326.37 KB (714x1742),sprite_pok_mon_4th_generation_overworld.png,2026-07-18T09:01:46.323675+00:00
Pokémon HeartGold / SoulSilver,Ds Dsi,Overworld,"Pokémon (Miscellaneous, Overworld)",sprite_pok_mon_miscellaneous_overworld,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/26952/,Dragoon,,"A long, long time ago",PNG (image/png),38.15 KB (536x328),sprite_pok_mon_miscellaneous_overworld.png,2026-07-18T09:01:50.492904+00:00
Pokémon HeartGold / SoulSilver,Ds Dsi,Overworld,Trainers (Overworld),sprite_trainers_overworld,https://www.spriters-resource.com/ds_dsi/pokemonheartgoldsoulsilver/asset/26955/,Dragoon,,"A long, long time ago",PNG (image/png),280.02 KB (957x1101),sprite_trainers_overworld.png,2026-07-18T09:01:54.689246+00:00
