game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,Biggoron,sprite_biggoron,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6399/,Bacon,,"A long, long time ago",GIF (image/gif),26.49 KB (445x805),sprite_biggoron.gif,2026-07-19T08:22:40.396573+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,Blade Brothers,sprite_blade_brothers,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6396/,,Some One,"A long, long time ago",PNG (image/png),65.06 KB (746x716),sprite_blade_brothers.png,2026-07-19T08:22:44.799909+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,Carpenters,sprite_carpenters,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6384/,Cloud Strife,,"A long, long time ago",PNG (image/png),14.31 KB (350x316),sprite_carpenters.png,2026-07-19T08:22:51.811979+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,Cats,sprite_cats,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6402/,,Warrier1,"A long, long time ago",GIF (image/gif),13.09 KB (422x300),sprite_cats.gif,2026-07-19T08:22:56.001264+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,Cuccos,sprite_cuccos,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6403/,,Fleeka,"A long, long time ago",PNG (image/png),7.74 KB (152x156),sprite_cuccos.png,2026-07-19T08:22:59.990270+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,Deku Scrub,sprite_deku_scrub,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6542/,,shiMa,"A long, long time ago",PNG (image/png),22.22 KB (226x463),sprite_deku_scrub.png,2026-07-19T08:23:07.304017+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,"Din, Nayru & Farore (Oracles)",sprite_din_nayru_farore_oracles,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/24932/,MisterMike,,"A long, long time ago",PNG (image/png),8.48 KB (263x106),sprite_din_nayru_farore_oracles.png,2026-07-19T08:23:11.429469+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,Dogs,sprite_dogs,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6400/,Rakia,,"A long, long time ago",PNG (image/png),3.97 KB (169x125),sprite_dogs.png,2026-07-19T08:23:15.662311+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,Ezlo (Hat),sprite_ezlo_hat,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6372/,Sonikku,,"A long, long time ago",PNG (image/png),28.45 KB (480x374),sprite_ezlo_hat.png,2026-07-19T08:23:19.905515+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Non-Playable Characters,Ezlo (Minish),sprite_ezlo_minish,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6373/,Bacon,,"A long, long time ago",GIF (image/gif),12.71 KB (373x518),sprite_ezlo_minish.gif,2026-07-19T08:23:24.272759+00:00
