game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Acrobandits,sprite_acrobandits,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6406/,,BigGoron,"A long, long time ago",PNG (image/png),21.58 KB (1230x137),sprite_acrobandits.png,2026-07-19T08:29:18.764601+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Beetle,sprite_beetle,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6411/,Sonikku,P-Tux7,"A long, long time ago",PNG (image/png),1.36 KB (141x93),sprite_beetle.png,2026-07-19T08:29:22.977262+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Bob-omb,sprite_bob_omb,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6413/,Robbydude,,"A long, long time ago",PNG (image/png),3.75 KB (100x223),sprite_bob_omb.png,2026-07-19T08:29:27.081184+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Chuchu,sprite_chuchu,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6414/,,Caffeine Ripper,"A long, long time ago",PNG (image/png),36.80 KB (484x931),sprite_chuchu.png,2026-07-19T08:29:31.387576+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Cloud Piranha,sprite_cloud_piranha,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6443/,Sonikku,,"A long, long time ago",PNG (image/png),6.58 KB (188x201),sprite_cloud_piranha.png,2026-07-19T08:29:35.387115+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Crow,sprite_crow,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6445/,Sonikku,,"A long, long time ago",PNG (image/png),1.92 KB (111x76),sprite_crow.png,2026-07-19T08:29:39.741319+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Darknut,sprite_darknut,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/64168/,Shred Mako,,"November 28, 2014",PNG (image/png),208.17 KB (1077x995),sprite_darknut.png,2026-07-19T08:29:43.907938+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Door Trap,sprite_door_trap,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6449/,Sonikku,,"A long, long time ago",PNG (image/png),2.86 KB (279x87),sprite_door_trap.png,2026-07-19T08:29:48.021882+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Eyegore Statue,sprite_eyegore_statue,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6409/,Bacon,,"A long, long time ago",GIF (image/gif),18.08 KB (389x338),sprite_eyegore_statue.gif,2026-07-19T08:29:52.058293+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Floormaster & Wallmaster,sprite_floormaster_wallmaster,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/49617/,,ShadowKami,"A long, long time ago",PNG (image/png),22.47 KB (442x186),sprite_floormaster_wallmaster.png,2026-07-19T08:29:56.012655+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Ghini,sprite_ghini,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6459/,Sonikku,,"A long, long time ago",PNG (image/png),4.11 KB (104x151),sprite_ghini.png,2026-07-19T08:29:59.750748+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Keaton,sprite_keaton,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6472/,,Gold Ghosty,"A long, long time ago",PNG (image/png),17.67 KB (288x388),sprite_keaton.png,2026-07-19T08:30:03.425834+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Keese,sprite_keese,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6475/,Sonikku,,"A long, long time ago",PNG (image/png),1.76 KB (170x66),sprite_keese.png,2026-07-19T08:30:07.281920+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Lakitu,sprite_lakitu,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6405/,Sonikku,,"A long, long time ago",PNG (image/png),31.71 KB (379x285),sprite_lakitu.png,2026-07-19T08:30:13.940971+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Leever,sprite_leever,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6478/,Sonikku,,"A long, long time ago",PNG (image/png),4.90 KB (210x135),sprite_leever.png,2026-07-19T08:30:17.807327+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Like Like,sprite_like_like,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6480/,Sonikku,,"A long, long time ago",PNG (image/png),3.06 KB (185x94),sprite_like_like.png,2026-07-19T08:30:21.548890+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Moldorms,sprite_moldorms,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6497/,Sonikku,,"A long, long time ago",PNG (image/png),4.04 KB (242x131),sprite_moldorms.png,2026-07-19T08:30:25.257360+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Moldworm,sprite_moldworm,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6498/,Sonikku,,"A long, long time ago",PNG (image/png),5.21 KB (145x164),sprite_moldworm.png,2026-07-19T08:30:29.034136+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Octorok,sprite_octorok,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6504/,,Sblaka,"A long, long time ago",GIF (image/gif),11.40 KB (292x227),sprite_octorok.gif,2026-07-19T08:30:32.699323+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Peahat,sprite_peahat,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6509/,Sonikku,,"A long, long time ago",PNG (image/png),6.68 KB (213x156),sprite_peahat.png,2026-07-19T08:30:36.494576+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Pesto,sprite_pesto,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6511/,Sonikku,,"A long, long time ago",PNG (image/png),7.65 KB (203x161),sprite_pesto.png,2026-07-19T08:30:40.149670+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Puffstool,sprite_puffstool,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6512/,Sonikku,,"A long, long time ago",PNG (image/png),15.60 KB (401x220),sprite_puffstool.png,2026-07-19T08:30:47.267865+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Rollobite,sprite_rollobite,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6515/,Sonikku,,"A long, long time ago",PNG (image/png),4.54 KB (185x123),sprite_rollobite.png,2026-07-19T08:30:51.499401+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Rope,sprite_rope,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6517/,Whispy,,"A long, long time ago",GIF (image/gif),7.97 KB (154x294),sprite_rope.gif,2026-07-19T08:30:58.921500+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Rupee Like,sprite_rupee_like,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6520/,Sonikku,,"A long, long time ago",PNG (image/png),4.66 KB (179x132),sprite_rupee_like.png,2026-07-19T08:31:05.976842+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Sluggula,sprite_sluggula,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6564/,,BigGoron,"A long, long time ago",PNG (image/png),9.34 KB (330x145),sprite_sluggula.png,2026-07-19T08:31:10.301652+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Spark,sprite_spark,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6407/,Sonikku,,"A long, long time ago",PNG (image/png),3.21 KB (144x119),sprite_spark.png,2026-07-19T08:31:14.543424+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Spear Moblin,sprite_spear_moblin,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6556/,,fear,"A long, long time ago",PNG (image/png),42.88 KB (601x432),sprite_spear_moblin.png,2026-07-19T08:31:18.701920+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Spiked Beetle,sprite_spiked_beetle,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6523/,Robbydude,,"A long, long time ago",PNG (image/png),5.19 KB (101x245),sprite_spiked_beetle.png,2026-07-19T08:31:25.800836+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Stalfos,sprite_stalfos,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6524/,Sonikku,,"A long, long time ago",PNG (image/png),41.52 KB (418x681),sprite_stalfos.png,2026-07-19T08:31:33.233969+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Tektike,sprite_tektike,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6557/,EDGE,,"A long, long time ago",PNG (image/png),8.34 KB (311x137),sprite_tektike.png,2026-07-19T08:31:37.227403+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Enemies,Wisp,sprite_wisp,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6448/,Sonikku,,"A long, long time ago",PNG (image/png),6.05 KB (191x220),sprite_wisp.png,2026-07-19T08:31:41.492511+00:00
The Legend of Zelda: The Minish Cap,Game Boy Advance,Bosses,Big Blue Chuchu,sprite_big_blue_chuchu,https://www.spriters-resource.com/game_boy_advance/thelegendofzeldatheminishcap/asset/6460/,Sonikku,,"A long, long time ago",PNG (image/png),25.37 KB (342x480),sprite_big_blue_chuchu.png,2026-07-19T08:31:48.681767+00:00
