game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Mario & Luigi: Superstar Saga,Game Boy Advance,Playable Characters,"Luigi (Battle, Disassembled)",mario_luigi_battle_disassembled,https://www.spriters-resource.com/game_boy_advance/mlss/asset/477936/,Deleted User,,"September 8, 2025",PNG (image/png),201.28 KB (1936x2496),mario_luigi_battle_disassembled.png,2026-07-16T07:09:14.346988+00:00
Mario & Luigi: Superstar Saga,Game Boy Advance,Playable Characters,Luigi (Battle),mario_luigi_battle,https://www.spriters-resource.com/game_boy_advance/mlss/asset/7544/,A.J. Nitro,Jdaster64; WahooMario,"A long, long time ago",PNG (image/png),188.37 KB (655x2706),mario_luigi_battle.png,2026-07-16T07:09:27.390334+00:00
Mario & Luigi: Superstar Saga,Game Boy Advance,Playable Characters,Luigi (Overworld),mario_luigi_overworld,https://www.spriters-resource.com/game_boy_advance/mlss/asset/7542/,A.J. Nitro,WahooMario,"A long, long time ago",PNG (image/png),410.21 KB (1143x2100),mario_luigi_overworld.png,2026-07-16T07:09:32.247994+00:00
Mario & Luigi: Superstar Saga,Game Boy Advance,Playable Characters,Luigi's Bros. Moves,mario_luigi_s_bros_moves,https://www.spriters-resource.com/game_boy_advance/mlss/asset/7543/,A.J. Nitro,WahooMario,"A long, long time ago",PNG (image/png),248.00 KB (928x2488),mario_luigi_s_bros_moves.png,2026-07-16T07:09:37.291615+00:00
Mario & Luigi: Superstar Saga,Game Boy Advance,Playable Characters,"Mario (Battle, Disassembled)",mario_mario_battle_disassembled,https://www.spriters-resource.com/game_boy_advance/mlss/asset/476481/,Deleted User,,"September 4, 2025",PNG (image/png),205.03 KB (1776x2544),mario_mario_battle_disassembled.png,2026-07-16T07:09:41.769167+00:00
Mario & Luigi: Superstar Saga,Game Boy Advance,Playable Characters,Mario (Battle),mario_mario_battle,https://www.spriters-resource.com/game_boy_advance/mlss/asset/7546/,A.J. Nitro,Jdaster64; WahooMario,"A long, long time ago",PNG (image/png),187.27 KB (668x2578),mario_mario_battle.png,2026-07-16T07:09:45.820338+00:00
Mario & Luigi: Superstar Saga,Game Boy Advance,Playable Characters,Mario (Overworld),mario_mario_overworld,https://www.spriters-resource.com/game_boy_advance/mlss/asset/7545/,A.J. Nitro,WahooMario,"A long, long time ago",PNG (image/png),374.51 KB (1237x1620),mario_mario_overworld.png,2026-07-16T07:09:50.971209+00:00
Mario & Luigi: Superstar Saga,Game Boy Advance,Playable Characters,Mario's Bros. Moves,mario_mario_s_bros_moves,https://www.spriters-resource.com/game_boy_advance/mlss/asset/22275/,Jdaster64,WahooMario,"A long, long time ago",PNG (image/png),276.28 KB (1000x2700),mario_mario_s_bros_moves.png,2026-07-16T07:09:55.982732+00:00
Mario & Luigi: Superstar Saga,Game Boy Advance,Non-Playable Characters,Ankoopa,mario_ankoopa,https://www.spriters-resource.com/game_boy_advance/mlss/asset/7532/,,Shadow Hylian,"A long, long time ago",GIF (image/gif),19.21 KB (200x700),mario_ankoopa.gif,2026-07-16T07:10:00.371925+00:00
Mario & Luigi: Superstar Saga,Game Boy Advance,Non-Playable Characters,Beanbean Guards,mario_beanbean_guards,https://www.spriters-resource.com/game_boy_advance/mlss/asset/7517/,A.J. Nitro,,"A long, long time ago",PNG (image/png),6.08 KB (226x168),mario_beanbean_guards.png,2026-07-16T07:10:05.114176+00:00
