game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),3rd Hokage & Jiraiya,naruto_3rd_hokage_jiraiya,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79017/,Shade,,"May 16, 2016",PNG (image/png),9.20 KB (124x247),naruto_3rd_hokage_jiraiya.png,2026-07-18T05:25:57.362284+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Chunin Exam Examiners,naruto_chunin_exam_examiners,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79018/,Shade,,"May 16, 2016",PNG (image/png),11.70 KB (124x493),naruto_chunin_exam_examiners.png,2026-07-18T05:26:03.458434+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Hidden Leaf Ninja,naruto_hidden_leaf_ninja,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79019/,Shade,,"May 16, 2016",PNG (image/png),11.94 KB (124x493),naruto_hidden_leaf_ninja.png,2026-07-18T05:26:08.596871+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Hidden Mist Ninja,naruto_hidden_mist_ninja,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79020/,Shade,,"May 16, 2016",PNG (image/png),6.17 KB (124x247),naruto_hidden_mist_ninja.png,2026-07-18T05:26:13.513444+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Hidden Rain Ninja,naruto_hidden_rain_ninja,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79021/,Shade,,"May 16, 2016",PNG (image/png),14.14 KB (124x494),naruto_hidden_rain_ninja.png,2026-07-18T05:26:19.504818+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),"Iruka, Asuma, & Guy",naruto_iruka_asuma_guy,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79022/,Shade,,"May 16, 2016",PNG (image/png),9.15 KB (124x370),naruto_iruka_asuma_guy.png,2026-07-18T05:26:24.220181+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Kakashi,naruto_kakashi,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/61489/,Dazz,,"July 15, 2014",PNG (image/png),15.34 KB (122x450),naruto_kakashi.png,2026-07-18T05:26:29.411140+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),"Kiba, Akamaru, Shino, & Hinata",naruto_kiba_akamaru_shino_hinata,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79023/,Shade,,"May 16, 2016",PNG (image/png),9.57 KB (124x493),naruto_kiba_akamaru_shino_hinata.png,2026-07-18T05:26:33.272982+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Konohamaru & Ebisu,naruto_konohamaru_ebisu,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79024/,Shade,,"May 16, 2016",PNG (image/png),6.29 KB (124x370),naruto_konohamaru_ebisu.png,2026-07-18T05:26:38.489246+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Naruto,naruto_naruto,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/54577/,Shade,,"A long, long time ago",PNG (image/png),10.28 KB (124x452),naruto_naruto.png,2026-07-18T05:26:42.881155+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),"Neji, Lee, & Tenten",naruto_neji_lee_tenten,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79025/,Shade,,"May 16, 2016",PNG (image/png),8.12 KB (124x452),naruto_neji_lee_tenten.png,2026-07-18T05:26:46.724891+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),"Orochimaru, Kabuto, Misumi, & Itachi",naruto_orochimaru_kabuto_misumi_itachi,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79026/,Shade,,"May 16, 2016",PNG (image/png),13.05 KB (124x415),naruto_orochimaru_kabuto_misumi_itachi.png,2026-07-18T05:26:51.616558+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Sakura,naruto_sakura,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/61490/,Dazz,,"July 15, 2014",PNG (image/png),25.03 KB (122x901),naruto_sakura.png,2026-07-18T05:26:56.140076+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Sasuke,naruto_sasuke,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/61492/,Dazz,,"July 15, 2014",PNG (image/png),10.89 KB (122x450),naruto_sasuke.png,2026-07-18T05:27:01.167716+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Sasuke (Black Outfit),naruto_sasuke_black_outfit,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/61491/,Dazz,,"July 15, 2014",PNG (image/png),11.66 KB (122x450),naruto_sasuke_black_outfit.png,2026-07-18T05:27:05.793107+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),"Shikamaru, Ino, & Choji",naruto_shikamaru_ino_choji,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79027/,Shade,,"May 16, 2016",PNG (image/png),10.36 KB (124x371),naruto_shikamaru_ino_choji.png,2026-07-18T05:27:11.698632+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Team Dosu,naruto_team_dosu,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79028/,Shade,,"May 16, 2016",PNG (image/png),12.84 KB (124x411),naruto_team_dosu.png,2026-07-18T05:27:15.991093+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),"Teuchi, Tazuna, & Mizuki",naruto_teuchi_tazuna_mizuki,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79029/,Shade,,"May 16, 2016",PNG (image/png),12.09 KB (124x493),naruto_teuchi_tazuna_mizuki.png,2026-07-18T05:27:20.611454+00:00
Naruto: Path of the Ninja,Ds Dsi,Characters (Overworld),Zabuza & Haku,naruto_zabuza_haku,https://www.spriters-resource.com/ds_dsi/narutopotn/asset/79030/,Shade,,"May 16, 2016",PNG (image/png),13.05 KB (124x575),naruto_zabuza_haku.png,2026-07-18T05:27:28.978459+00:00
