game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Aerodactyl,pokemon_aerodactyl,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5251/,Mystery_Dungeon,,"A long, long time ago",PNG (image/png),24.01 KB (412x287),pokemon_aerodactyl.png,2026-07-16T07:43:49.891818+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),"Articuno, Zapdos & Moltres",pokemon_articuno_zapdos_moltres,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/48016/,Garamonde,,"A long, long time ago",PNG (image/png),154.47 KB (942x675),pokemon_articuno_zapdos_moltres.png,2026-07-16T07:43:54.247332+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Ditto,pokemon_ditto,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5247/,Mr. C,,"A long, long time ago",PNG (image/png),15.82 KB (498x273),pokemon_ditto.png,2026-07-16T07:43:58.590425+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),"Dratini, Dragonair & Dragonite",pokemon_dratini_dragonair_dragonite,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5256/,Mystery_Dungeon,,"A long, long time ago",PNG (image/png),103.08 KB (416x979),pokemon_dratini_dragonair_dragonite.png,2026-07-16T07:44:02.714881+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),"Eevee, Vaporeon, Jolteon & Flareon",pokemon_eevee_vaporeon_jolteon_flareon,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/52336/,Mr. C,RRen,"A long, long time ago",PNG (image/png),89.79 KB (745x1123),pokemon_eevee_vaporeon_jolteon_flareon.png,2026-07-16T07:44:07.174889+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Kabuto & Kabutops,pokemon_kabuto_kabutops,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5249/,Mystery_Dungeon,,"A long, long time ago",PNG (image/png),64.79 KB (437x478),pokemon_kabuto_kabutops.png,2026-07-16T07:44:11.575922+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Lapras,pokemon_lapras,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/41540/,Garamonde,,"A long, long time ago",PNG (image/png),36.21 KB (603x232),pokemon_lapras.png,2026-07-16T07:44:16.488286+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Magikarp & Gyarados,pokemon_magikarp_gyarados,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5246/,Mr. C,,"A long, long time ago",PNG (image/png),115.71 KB (916x1034),pokemon_magikarp_gyarados.png,2026-07-16T07:44:21.344483+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Magmar,pokemon_magmar,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5243/,Mystery_Dungeon,,"A long, long time ago",PNG (image/png),23.02 KB (335x304),pokemon_magmar.png,2026-07-16T07:44:25.902895+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Mew,pokemon_mew,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5260/,Solink,,"A long, long time ago",PNG (image/png),13.66 KB (311x264),pokemon_mew.png,2026-07-16T07:44:30.177135+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Mewtwo,pokemon_mewtwo,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5259/,Mr. C,,"A long, long time ago",PNG (image/png),29.58 KB (674x284),pokemon_mewtwo.png,2026-07-16T07:44:34.695824+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Omanyte & Omastar,pokemon_omanyte_omastar,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/40838/,Mr. C,,"A long, long time ago",PNG (image/png),34.63 KB (704x357),pokemon_omanyte_omastar.png,2026-07-16T07:44:39.161636+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Pinsir,pokemon_pinsir,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5244/,Mystery_Dungeon,,"A long, long time ago",PNG (image/png),18.39 KB (335x274),pokemon_pinsir.png,2026-07-16T07:44:43.322250+00:00
Pokémon Mystery Dungeon: Red Rescue Team,Game Boy Advance,Pokémon (1st Generation),Pokémon (#001-025),pokemon_pok_mon_001_025,https://www.spriters-resource.com/game_boy_advance/pokemonmysterydungeonredrescueteam/asset/5237/,Jackster,,"A long, long time ago",PNG (image/png),315.91 KB (610x1925),pokemon_pok_mon_001_025.png,2026-07-16T07:44:47.742768+00:00
